block_height,market,position,account,side,asset,amount_base_units
9049309,granite-aeusdc,SP1ARC8PTHHY7C9P076ZHH5MM6WDWA0XP2EXKVZJE,SP1ARC8PTHHY7C9P076ZHH5MM6WDWA0XP2EXKVZJE,debt_stored,shares,1
9049309,granite-aeusdc,SP1BQPR680MBSPX36C8BGK8F9DMQYSVQ92KPYZ7Y4,SP1BQPR680MBSPX36C8BGK8F9DMQYSVQ92KPYZ7Y4,collateral,sBTC,18
9049309,granite-aeusdc,SP1BQPR680MBSPX36C8BGK8F9DMQYSVQ92KPYZ7Y4,SP1BQPR680MBSPX36C8BGK8F9DMQYSVQ92KPYZ7Y4,debt,token-aeusdc,833
9049309,granite-aeusdc,SP1BQPR680MBSPX36C8BGK8F9DMQYSVQ92KPYZ7Y4,SP1BQPR680MBSPX36C8BGK8F9DMQYSVQ92KPYZ7Y4,debt_stored,shares,539
9049309,granite-aeusdc,SP1C326P0GPVGTXHBF8NKEC00ZJP4Q3YPTK1H8BBK,SP1C326P0GPVGTXHBF8NKEC00ZJP4Q3YPTK1H8BBK,collateral,sBTC,91
9049309,granite-aeusdc,SP1C326P0GPVGTXHBF8NKEC00ZJP4Q3YPTK1H8BBK,SP1C326P0GPVGTXHBF8NKEC00ZJP4Q3YPTK1H8BBK,debt,token-aeusdc,2
9049309,granite-aeusdc,SP1C326P0GPVGTXHBF8NKEC00ZJP4Q3YPTK1H8BBK,SP1C326P0GPVGTXHBF8NKEC00ZJP4Q3YPTK1H8BBK,debt_stored,shares,1
9049309,granite-aeusdc,SP1CJTRQ7TK1B1PH4FS9HVQZ9JQ39714SD6DG165V,SP1CJTRQ7TK1B1PH4FS9HVQZ9JQ39714SD6DG165V,collateral,sBTC,19
9049309,granite-aeusdc,SP1CJTRQ7TK1B1PH4FS9HVQZ9JQ39714SD6DG165V,SP1CJTRQ7TK1B1PH4FS9HVQZ9JQ39714SD6DG165V,debt,token-aeusdc,1706
9049309,granite-aeusdc,SP1CJTRQ7TK1B1PH4FS9HVQZ9JQ39714SD6DG165V,SP1CJTRQ7TK1B1PH4FS9HVQZ9JQ39714SD6DG165V,debt_stored,shares,1104
9049309,granite-aeusdc,SP1CPWR7BEP7NRG0T2JXS5KY0Z4QH1T313EW8932,SP1CPWR7BEP7NRG0T2JXS5KY0Z4QH1T313EW8932,collateral,sBTC,71
9049309,granite-aeusdc,SP1CPWR7BEP7NRG0T2JXS5KY0Z4QH1T313EW8932,SP1CPWR7BEP7NRG0T2JXS5KY0Z4QH1T313EW8932,debt,token-aeusdc,7
9049309,granite-aeusdc,SP1CPWR7BEP7NRG0T2JXS5KY0Z4QH1T313EW8932,SP1CPWR7BEP7NRG0T2JXS5KY0Z4QH1T313EW8932,debt_stored,shares,4
9049309,granite-aeusdc,SP1DKGF8Z3S3RMFPQBNK3SCFA4M4K260718GBR495,SP1DKGF8Z3S3RMFPQBNK3SCFA4M4K260718GBR495,collateral,sBTC,60
9049309,granite-aeusdc,SP1DKGF8Z3S3RMFPQBNK3SCFA4M4K260718GBR495,SP1DKGF8Z3S3RMFPQBNK3SCFA4M4K260718GBR495,debt,token-aeusdc,2
9049309,granite-aeusdc,SP1DKGF8Z3S3RMFPQBNK3SCFA4M4K260718GBR495,SP1DKGF8Z3S3RMFPQBNK3SCFA4M4K260718GBR495,debt_stored,shares,1
9049309,granite-aeusdc,SP1EGM42GJSPY9QPCCNXG8SSKED03G764HEP1CHED,SP1EGM42GJSPY9QPCCNXG8SSKED03G764HEP1CHED,collateral,sBTC,49
9049309,granite-aeusdc,SP1EGM42GJSPY9QPCCNXG8SSKED03G764HEP1CHED,SP1EGM42GJSPY9QPCCNXG8SSKED03G764HEP1CHED,debt,token-aeusdc,2
9049309,granite-aeusdc,SP1EGM42GJSPY9QPCCNXG8SSKED03G764HEP1CHED,SP1EGM42GJSPY9QPCCNXG8SSKED03G764HEP1CHED,debt_stored,shares,1
9049309,granite-aeusdc,SP1H9A5ZAVD2TTT7GSH5KYEYG5H94T15PS10KQJRF,SP1H9A5ZAVD2TTT7GSH5KYEYG5H94T15PS10KQJRF,collateral,sBTC,100
9049309,granite-aeusdc,SP1H9A5ZAVD2TTT7GSH5KYEYG5H94T15PS10KQJRF,SP1H9A5ZAVD2TTT7GSH5KYEYG5H94T15PS10KQJRF,debt,token-aeusdc,2
9049309,granite-aeusdc,SP1H9A5ZAVD2TTT7GSH5KYEYG5H94T15PS10KQJRF,SP1H9A5ZAVD2TTT7GSH5KYEYG5H94T15PS10KQJRF,debt_stored,shares,1
9049309,granite-aeusdc,SP1J79YZTX747WWHSNJM84K1586W5ZNZ8JY9J5WFN,SP1J79YZTX747WWHSNJM84K1586W5ZNZ8JY9J5WFN,collateral,sBTC,18945
9049309,granite-aeusdc,SP1J79YZTX747WWHSNJM84K1586W5ZNZ8JY9J5WFN,SP1J79YZTX747WWHSNJM84K1586W5ZNZ8JY9J5WFN,debt,token-aeusdc,7927289
9049309,granite-aeusdc,SP1J79YZTX747WWHSNJM84K1586W5ZNZ8JY9J5WFN,SP1J79YZTX747WWHSNJM84K1586W5ZNZ8JY9J5WFN,debt_stored,shares,5131648
9049309,granite-aeusdc,SP1JB6RQMGP3Q33NG2ZBN17CJRAJXWJDPJ9SJZ7Q5,SP1JB6RQMGP3Q33NG2ZBN17CJRAJXWJDPJ9SJZ7Q5,collateral,sBTC,56
9049309,granite-aeusdc,SP1JB6RQMGP3Q33NG2ZBN17CJRAJXWJDPJ9SJZ7Q5,SP1JB6RQMGP3Q33NG2ZBN17CJRAJXWJDPJ9SJZ7Q5,debt,token-aeusdc,1806
9049309,granite-aeusdc,SP1JB6RQMGP3Q33NG2ZBN17CJRAJXWJDPJ9SJZ7Q5,SP1JB6RQMGP3Q33NG2ZBN17CJRAJXWJDPJ9SJZ7Q5,debt_stored,shares,1169
9049309,granite-aeusdc,SP1JNBD5CS0JD1WCJBY1XDNMS7J48N0RC1DHRXCSA,SP1JNBD5CS0JD1WCJBY1XDNMS7J48N0RC1DHRXCSA,collateral,sBTC,30
9049309,granite-aeusdc,SP1JNBD5CS0JD1WCJBY1XDNMS7J48N0RC1DHRXCSA,SP1JNBD5CS0JD1WCJBY1XDNMS7J48N0RC1DHRXCSA,debt,token-aeusdc,2
9049309,granite-aeusdc,SP1JNBD5CS0JD1WCJBY1XDNMS7J48N0RC1DHRXCSA,SP1JNBD5CS0JD1WCJBY1XDNMS7J48N0RC1DHRXCSA,debt_stored,shares,1
9049309,granite-aeusdc,SP1K092RK0FVE8XTMH6T8YHJM4Z06X5CKKRXD9P78,SP1K092RK0FVE8XTMH6T8YHJM4Z06X5CKKRXD9P78,collateral,sBTC,68
